City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,atafu village,-8.5421,-172.5159,302.63,68,44,2.12,TK,1699848082
84,georgetown,5.4112,100.3354,305.11,74,20,3.09,MY,1699848181
85,egilsstadir,65.2653,-14.3948,273.1,93,20,3.6,IS,1699848197
86,kharkhorin,47.1975,102.8238,267.47,58,41,0.88,MN,1699848197
87,nemuro,43.3236,145.575,278.23,43,26,3.11,JP,1699848197
88,demopolis,32.5176,-87.8364,287.12,100,100,0.0,US,1699848198
89,srivardhan,18.0333,73.0167,302.66,48,35,2.53,IN,1699848198
90,invercargill,-46.4,168.35,284.83,90,100,3.13,NZ,1699848175
91,olyokminsk,60.3736,120.4264,264.92,83,99,1.78,RU,1699848198
92,tarakan,3.3,117.6333,301.87,89,40,2.06,ID,1699848198
93,arvayheer,46.2639,102.775,271.28,14,15,0.83,MN,1699848198
94,salinas,36.6777,-121.6555,287.91,88,0,2.06,US,1699848093
95,porto belo,-27.1578,-48.5531,297.15,93,100,1.36,BR,1699848199
96,dhidhdhoo,6.8833,73.1,301.28,74,94,2.77,MV,1699848199
97,punta arenas,-53.15,-70.9167,282.21,61,75,7.2,CL,1699847975
98,utrik,11.2278,169.8474,301.03,83,99,9.15,MH,1699848200
99,praia da vitoria,38.7333,-27.0667,290.29,82,75,1.33,PT,1699848200
100,buka,40.8108,69.1986,282.06,44,93,0.86,UZ,1699848200
101,fort bragg,35.139,-79.006,283.9,79,20,0.45,US,1699848200
102,stanley,54.868,-1.6985,280.11,95,100,2.57,GB,1699847810
103,tefe,-3.3542,-64.7114,298.43,82,29,1.08,BR,1699848201
104,arno,60.1167,18.6333,276.36,97,100,4.97,SE,1699848201
105,flying fish cove,-10.4217,105.6791,300.97,69,40,6.17,CX,1699847723
106,besisahar,28.2313,84.3761,295.48,51,0,2.12,NP,1699848202
107,edinburgh of the seven seas,-37.0676,-12.3116,287.5,81,54,10.96,SH,1699848202
108,gaalkacyo,6.7697,47.4308,299.02,77,19,5.0,SO,1699847995
109,harper,4.375,-7.7169,298.69,89,36,2.94,LR,1699848202
110,le morne-rouge,14.7667,-61.1333,296.91,79,77,6.44,MQ,1699848203
111,vorkuta,67.5,64.0,263.27,96,93,2.61,RU,1699848203
112,san patricio,28.017,-97.5169,290.2,97,100,5.6,US,1699848203
113,lorengau,-2.0226,147.2712,302.23,67,62,1.49,PG,1699847906
114,yokadouma,3.5167,15.05,293.78,100,100,0.72,CM,1699848203
115,okhotsk,59.3833,143.3,260.01,75,1,8.72,RU,1699848204
116,pisco,-13.7,-76.2167,292.6,88,15,3.09,PE,1699848149
117,aksuat,48.7167,83.7,274.2,98,100,2.76,KZ,1699848204
118,kudahuvadhoo,2.6708,72.8944,300.66,75,91,1.53,MV,1699848204
119,concepcion del oro,24.6333,-101.4167,282.01,94,100,1.48,MX,1699848205
120,kaga bandoro,6.9896,19.1874,294.14,98,99,0.89,CF,1699848205
121,tralee,52.2704,-9.7026,282.58,88,86,14.96,IE,1699848205
122,aasiaat,68.7098,-52.8699,258.7,87,18,1.94,GL,1699848205
123,longyearbyen,78.2186,15.6401,266.06,79,75,10.8,SJ,1699847804
124,chonchi,-42.6128,-73.8092,280.44,89,98,1.82,CL,1699848116
125,qingyuan,23.7,113.0333,293.14,62,8,5.32,CN,1699848206
126,gersheim,49.15,7.2,284.1,96,75,8.75,DE,1699848206
127,iqaluit,63.7506,-68.5145,254.09,77,20,2.57,CA,1699848089
128,howrah,22.5892,88.3103,299.15,69,15,4.12,IN,1699848207
129,port alfred,-33.5906,26.891,287.69,86,83,0.45,ZA,1699848207
130,langsa,4.4683,97.9683,300.95,79,95,1.07,ID,1699848207
131,hawaiian paradise park,19.5933,-154.9731,296.5,94,58,0.89,US,1699848207
132,noosa heads,-26.3833,153.15,303.89,67,3,7.85,AU,1699848207
133,shabo,46.1326,30.386,280.65,75,20,1.79,UA,1699848207
134,peniche,39.3558,-9.3811,291.09,94,17,4.34,PT,1699848208
135,pinheiro machado,-31.5783,-53.3811,288.77,99,100,2.36,BR,1699848208
136,santa ines,-3.6667,-45.38,296.93,79,5,1.56,BR,1699848101
137,selfoss,63.9331,-20.9971,275.4,61,100,6.14,IS,1699848147
138,kourou,5.1552,-52.6478,299.15,89,3,3.55,GF,1699848008
139,ola,59.5833,151.2833,262.77,60,100,4.99,RU,1699848209
140,maceio,-9.6658,-35.7353,294.84,100,0,1.54,BR,1699848015
141,matoury,4.8483,-52.3317,299.07,87,2,3.21,GF,1699848209
142,contamana,-7.3333,-75.0167,299.49,75,66,1.22,PE,1699848209
143,ardakan,32.31,54.0175,289.67,31,97,1.14,IR,1699848209
144,santa elena de uairen,4.6167,-61.1333,293.28,84,58,2.1,VE,1699848210
145,karratha,-20.7377,116.8463,304.19,33,32,7.84,AU,1699848210
146,ujae,8.9322,165.7642,300.96,84,99,7.97,MH,1699848210
147,mburucuya,-28.0454,-58.2245,298.09,85,68,5.07,AR,1699848210
148,vorgashor,67.5833,63.95,262.61,97,95,2.7,RU,1699848095
